BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,GRAHAMSTOWN,GRAHAMSTOWN EAST,6140
EASTERN CAPE,GRAHAMSTOWN,GRAHAMSTOWN,6140
EASTERN CAPE,GRAHAMSTOWN,HILL SIXTY,6140
EASTERN CAPE,GRAHAMSTOWN,KINGSWOOD,6140
EASTERN CAPE,GRAHAMSTOWN,LAVENDER VALLEY,6140
EASTERN CAPE,GRAHAMSTOWN,MANLEY FLATS,6145
EASTERN CAPE,GRAHAMSTOWN,MARKET SQUARE,6141
EASTERN CAPE,GRAHAMSTOWN,MARTINDALE,6146
EASTERN CAPE,GRAHAMSTOWN,OATLANDS NORTH,6140
EASTERN CAPE,GRAHAMSTOWN,OATLANDS,6140
EASTERN CAPE,GRAHAMSTOWN,SALEM,6150
EASTERN CAPE,GRAHAMSTOWN,SOMERSET HEIGHTS,6139
EASTERN CAPE,GRAHAMSTOWN,STONES HILL,6140
EASTERN CAPE,GRAHAMSTOWN,SUNNYSIDE,6140
EASTERN CAPE,GRAHAMSTOWN,WEST HILL,6140
EASTERN CAPE,HACKNEY,HACKNEY,5361
EASTERN CAPE,HAMBURG,HAMBURG,5641
EASTERN CAPE,HANKEY,HANKEY,6350
EASTERN CAPE,HERSCHEL,HERSCHEL,9756
EASTERN CAPE,HOFMEYR,HOFMEYR,5930
EASTERN CAPE,HOGSBACK,HOGSBACK,5721
EASTERN CAPE,HUMANSDORP,ARCADIA,6300
EASTERN CAPE,HUMANSDORP,BOSKLOOF,6300
EASTERN CAPE,HUMANSDORP,CLARKSON,6302
EASTERN CAPE,HUMANSDORP,COLDSTREAM,6311
EASTERN CAPE,HUMANSDORP,HUMANSDORP,6300
EASTERN CAPE,HUMANSDORP,KLEINEMONDE,6300
EASTERN CAPE,HUMANSDORP,KRUISFONTEIN,6300
EASTERN CAPE,HUMANSDORP,OUBOSRAND,6303
EASTERN CAPE,HUMANSDORP,PANORAMA,6300
EASTERN CAPE,HUMANSDORP,PARADISE BEACH,6330
EASTERN CAPE,HUMANSDORP,PELSRUS,6300
EASTERN CAPE,HUMANSDORP,THORNHAM,6307
EASTERN CAPE,HUMANSDORP,WINTERSTRAND,6300
EASTERN CAPE,IDUTYWA,BADI,5015
EASTERN CAPE,IDUTYWA,BEECHAMWOOD,5016
EASTERN CAPE,IDUTYWA,IDUTYWA,5000
EASTERN CAPE,IDUTYWA,LOTA,5010
EASTERN CAPE,IDUTYWA,NOKOMIS,5007
EASTERN CAPE,IDUTYWA,WELLSHOT,5012
EASTERN CAPE,INDWE,INDWE,5445
EASTERN CAPE,JAMESTOWN,JAMESTOWN,5510
EASTERN CAPE,JANSENVILLE,JANSENVILLE,6265
EASTERN CAPE,JEFFREYS BAY,ASTON BAY,6330
EASTERN CAPE,JEFFREYS BAY,BO PLAAS,6330
EASTERN CAPE,JEFFREYS BAY,C PLACE,6330
EASTERN CAPE,JEFFREYS BAY,CENTRAL JEFFREYS BAY,6330
EASTERN CAPE,JEFFREYS BAY,EDEN GLEN,6330
EASTERN CAPE,JEFFREYS BAY,FERREIRA DORP,6330
EASTERN CAPE,JEFFREYS BAY,FOUNTAINS ESTATE,6330
EASTERN CAPE,JEFFREYS BAY,FOUNTAINS,6330
EASTERN CAPE,JEFFREYS BAY,INDUSTRIAL JEFFREYS BAY,6330
EASTERN CAPE,JEFFREYS BAY,JEFFREYS BAY,6330
EASTERN CAPE,JEFFREYS BAY,JUBILEE LAKES,6330
EASTERN CAPE,JEFFREYS BAY,KABELJOUS RIVER,6330
